Latitude,Longitude,Company,Emissions
47°64,-122°00,Apple,16.8
47°64,-122°13,Microsoft,15.4
37°42,-122°08,Alphabet,24.9
18°28,42°53,Saudi Aramco,47
37°37,-121°96,Nvidia,12.2
47°61,-122°34,Amazon ,26.1
24°76,120° 998,Taiwan Semiconductor Company,13.7
30°2,120°19,Alibaba,13.23
51°51,-0°02,HSBC,24.2
37°78,-122°41,Visa,15.4
37°45,-122°18,Meta,32.7
30°22,-97°62,Tesla ,24.7
37°34,-121°89,Broadcom,19.2
39°77,-86°16,Eli Lilly,23.6
41°26,-95°93,Berkshire Hathaway,26.2
36°37,-94°21,Walmart,25
22°53,113°93,Tencent,18.8
37°53,-122°27,Oracle,14.9
30°07,-95°42,Exxon Mobil ,43.7
33°87,-84°34,Home Depot,12.6
37°77,-122°42,Wells Fargo,34.4
37°24,-121°96,Netflix ,15.6
37°50,127°03,Samsung,15
40°76,-73°98,Bank of America,24.3
40°76,7°59,Roche ,23.8
33°75,-84°39,Coca Cola ,24.2
51°41,5°41,ASML,8.5
49°29,8°64,SAP,14.4
48°87,2°31,LVMH,13.9
55°76,12°46,Novo Nordisk ,23.2
39°10,-84°51,Procter & Gamble ,24.9
47°55,-122°05,Costco ,29.1
41°03,-73°72,Mastercard,16.1
37°79,-122°40,Salesforce,15.2
40°76,-73°96,JP Morgan Chase,27.3
44°90,-93°40,UnitedHealth,16.6
40°49,-74°45,Johnson&Johnson ,20.1
42°34,-87°83,AbbVie,26.1
48°87,2°31,Hermes,16.6
